2022-05-25 20:15:33,555 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:33,556 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>: {'action': 'presence', 'time': 1653498932.5211747, 'user': {'account_name': 'Guest'}, 'message': 'ss'}
2022-05-25 20:15:33,561 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:33,563 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:33,566 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498932.5211747, 'user': {'account_name': 'Guest'}, 'message': 'ss'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:33,568 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'SS'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:33,568 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:15:33,570 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'SS'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:33,571 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>
2022-05-25 20:15:39,651 DEBUG     decors.py Вызвана функция "get_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>,), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:39,652 DEBUG     server.py Получено сообщение от клиента <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>: {'action': 'presence', 'time': 1653498939.04234, 'user': {'account_name': 'Guest'}, 'message': 'sd'}
2022-05-25 20:15:39,656 INFO      server.py проверка сообщения от клента
2022-05-25 20:15:39,657 DEBUG     server.py сообщение от клента правильное
2022-05-25 20:15:39,659 DEBUG     decors.py Вызвана функция "process_client_message" с параметрами args = ({'action': 'presence', 'time': 1653498939.04234, 'user': {'account_name': 'Guest'}, 'message': 'sd'},), kwargs = {}, из модуля "__main__", из функции "main"
2022-05-25 20:15:39,660 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>, {'response': 200, 'message': 'SD'}), kwargs = {}, из модуля "common.utils", из функции "main"
2022-05-25 20:15:39,661 DEBUG     server.py Сообщение отправлено клиенту <socket.socket fd=376, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52527)>
2022-05-25 20:15:39,662 DEBUG     decors.py Вызвана функция "send_message" с параметрами args = (<socket.socket fd=416, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 52534)>, {'response': 200, 'message': 'SD'}), kwargs = {}, из модуля "common.utils", из функции "main"
